dcid,year,distri_ug_rate
geoId/02,2020,0.2520716695238325
geoId/01,2020,0.0841451905302333
geoId/05,2020,0.0982351270121111
geoId/04,2020,0.5114093162535887
geoId/06,2020,0.370997858313961
geoId/08,2020,0.3282002776084392
geoId/09,2020,0.2798362194301359
geoId/11,2020,0.6299519535853504
geoId/10,2020,0.5424405411548019
geoId/12,2020,0.3474447424796167
geoId/13,2020,0.308440728274688
geoId/15,2020,0.3574877283118225
geoId/19,2020,0.1775605772339324
geoId/16,2020,0.2748414178118712
geoId/17,2020,0.260264816498623
geoId/18,2020,0.2412880572514192
geoId/20,2020,0.1009847868447732
geoId/21,2020,0.1072582770147358
geoId/22,2020,0.1221874363876767
geoId/25,2020,0.2940432700786484
geoId/24,2020,0.6567269746062226
geoId/23,2020,0.0559140166160851
geoId/26,2020,0.1944576748097531
geoId/27,2020,0.3607519722453034
geoId/29,2020,0.1385094045676193
geoId/28,2020,0.0762435649125508
geoId/30,2020,0.1576016918984747
geoId/37,2020,0.3534968879544581
geoId/38,2020,0.3384289500936328
geoId/31,2020,0.1111288912690964
geoId/33,2020,0.1224670325048689
geoId/34,2020,0.3802031139111425
geoId/35,2020,0.2619960805955165
geoId/32,2020,0.5922549754098372
geoId/36,2020,0.3935074290826711
geoId/39,2020,0.2029500893692112
geoId/40,2020,0.1260875115193279
geoId/41,2020,0.3466633383680291
geoId/42,2020,0.1785790695460699
geoId/44,2020,0.1103184443669583
geoId/45,2020,0.2877904110882777
geoId/46,2020,0.2633186496954249
geoId/47,2020,0.1293634082922101
geoId/48,2020,0.1983351174051205
geoId/49,2020,0.2526628997112801
geoId/51,2020,0.3032963441623763
geoId/50,2020,0.0754711257357456
geoId/53,2020,0.3716457224636662
geoId/55,2020,0.3457217756828402
geoId/54,2020,0.1100478240728679
geoId/56,2020,0.1309579419182042
