dcid,year,total_distribution_power_line_length,cost_per_household_for_undergrounding_fire_prone_lines
geoId/060014063001,2021,1045.0356651462205,0.0
geoId/060014065001,2021,3242.864486981073,0.0
geoId/060014072003,2021,2962.9908929307453,0.0
geoId/060014061002,2021,9227.324566648304,0.0
geoId/060014071011,2021,3598.931555239054,0.0
geoId/060014071023,2021,2691.685006640459,0.0
geoId/060014305001,2021,12095.16446390384,572.807276370547
geoId/060014328001,2021,5549.49996984424,0.0
geoId/060014330001,2021,4403.125142886772,0.0
geoId/060014330004,2021,3580.242413527506,0.0
geoId/060014338002,2021,5611.053123871774,0.0
geoId/060014328002,2021,10476.50792861102,0.0
geoId/060014330003,2021,3455.131739362083,0.0
geoId/060014328003,2021,6428.050372717996,0.0
geoId/060014305002,2021,4368.351577901626,0.0
geoId/060014306003,2021,9641.002637696109,0.0
geoId/060014338001,2021,1892.5856987983027,0.0
geoId/060014327002,2021,3848.5193467738495,0.0
geoId/060014331032,2021,1322.824998807623,0.0
geoId/060014100001,2021,5389.907552907953,0.0
geoId/060014327001,2021,4146.776991701612,0.0
geoId/060014100002,2021,14379.418905169225,0.0
geoId/060014330002,2021,4409.8984944773465,0.0
geoId/060014306001,2021,5245.864265254732,1210.8196794257929
geoId/060014304002,2021,6147.707449539203,10227.271130975963
geoId/060530119001,2021,10334.913930800634,0.0
geoId/060530119003,2021,12531.683336234946,2888.0259590051496
geoId/060530121002,2021,7476.302904182448,0.0
geoId/060530120002,2021,7513.0536017715585,3906.2611255200018
geoId/060530119004,2021,18052.875534155668,0.0
geoId/060530120001,2021,7767.991219542009,0.0
geoId/060411090012,2021,6981.282068779081,0.0
geoId/060411090011,2021,5081.590475772994,0.0
geoId/060411110002,2021,7411.257896941773,0.0
geoId/060411060022,2021,12227.104102329036,0.0
geoId/060411110001,2021,12369.285615640392,0.0
geoId/060411060023,2021,3490.081091950729,0.0
geoId/060411090022,2021,7695.923418869984,0.0
geoId/060411090021,2021,7044.17877525684,0.0
geoId/060411101002,2021,12176.940473092458,0.0
geoId/060816129003,2021,6371.626768060258,0.0
geoId/060816129001,2021,8538.602896282458,0.0
geoId/060816128002,2021,7152.662930800732,0.0
geoId/060816127002,2021,9744.541507843283,0.0
geoId/060816114002,2021,9858.053891634285,0.0
geoId/060816128001,2021,9810.397118227156,0.0
geoId/060816127001,2021,4052.484760798182,0.0
geoId/060816126004,2021,3391.1896645181373,0.0
geoId/061070043001,2021,165022.81486773392,0.0
geoId/060816074001,2021,8500.111484479474,0.0
geoId/060816075001,2021,34211.09255615341,0.0
geoId/060816074003,2021,6913.904358222879,0.0
geoId/060816085014,2021,5256.939029676721,0.0
geoId/060816074002,2021,2097.4143070219047,0.0
geoId/060816072001,2021,6926.073741903149,0.0
geoId/060816084001,2021,12181.90109498479,0.0
geoId/060816085012,2021,5319.893796116474,0.0
geoId/060816086001,2021,3035.358529419544,0.0
geoId/060816073001,2021,4896.019619412612,0.0
geoId/060816073003,2021,5181.515715189972,0.0
geoId/060816067002,2021,18065.974091346565,0.0
geoId/060816070001,2021,2082.2718049486944,0.0
geoId/060816085013,2021,2851.1290161837237,0.0
geoId/060816073002,2021,7086.452635452446,0.0
geoId/060816071003,2021,4108.007630151595,0.0
geoId/060690002004,2021,91014.52918375294,93755.32540512002
geoId/060690002002,2021,62080.723122180665,643.088123013218
geoId/060690002001,2021,11478.076530997128,1147.1249335095736
geoId/060690002003,2021,26606.993767339336,0.0
geoId/060690007021,2021,34757.09129516521,0.0
geoId/060014420001,2021,22378.869178231307,13126.09633861454
geoId/060014422002,2021,14724.181687645816,0.0
geoId/060014420002,2021,7809.71445169375,0.0
geoId/060014421001,2021,13041.841544109977,0.0
geoId/060014421002,2021,11204.478682159674,0.0
geoId/060014422001,2021,7552.166206412042,0.0
geoId/060014422003,2021,5469.866708451087,0.0
geoId/060014431043,2021,11894.934905657818,79.79558976811157
geoId/060014423021,2021,9180.307087372348,0.0
geoId/060014411002,2021,15126.542437128404,3722.9270218703496
geoId/060290032063,2021,163423.00430317846,0.0
geoId/060290031141,2021,7154.014086691102,0.0
geoId/060290031241,2021,7687.738978313481,0.0
geoId/060290031144,2021,10876.474587892171,0.0
geoId/060290032061,2021,28438.20419650044,0.0
geoId/060290032051,2021,14340.660450125171,0.0
geoId/060290031244,2021,32712.055756059883,0.0
geoId/060290032052,2021,12643.078415834998,0.0
geoId/060290031236,2021,31720.24479387636,0.0
