dcid,year,distri_ug_rate
zip/01001,2020,0.2378915916431103
zip/01002,2020,0.2553213816010817
zip/01003,2020,0.2394115024520731
zip/01005,2020,0.2482972078003212
zip/01007,2020,0.2051955294924715
zip/01008,2020,0.1193188955685351
zip/01009,2020,0.1491679982401061
zip/01010,2020,0.2470912153878415
zip/01011,2020,0.1254640969205202
zip/01012,2020,0.2051955294924714
zip/01013,2020,0.3073717052252658
zip/01020,2020,0.3448888807546924
zip/01022,2020,0.3085317965302003
zip/01026,2020,0.2051955294924715
zip/01027,2020,0.2548380141799954
zip/01028,2020,0.204393244594434
zip/01029,2020,0.239411502452073
zip/01030,2020,0.2696326735018949
zip/01031,2020,0.2482972078003212
zip/01032,2020,0.2051955294924715
zip/01033,2020,0.2626154058892779
zip/01034,2020,0.2165672600502901
zip/01035,2020,0.2553213816010817
zip/01036,2020,0.1491679982401062
zip/01037,2020,0.2482972078003212
zip/01038,2020,0.2051955294924715
zip/01039,2020,0.2051955294924715
zip/01040,2020,0.3440469783436111
zip/01050,2020,0.1254640969205202
zip/01053,2020,0.1506862922687671
zip/01054,2020,0.2051955294924715
zip/01056,2020,0.2205665332402481
zip/01057,2020,0.1491679982401061
zip/01060,2020,0.2051955294924715
zip/01062,2020,0.2924893769890354
zip/01063,2020,0.1506862922687671
zip/01066,2020,0.239411502452073
zip/01068,2020,0.2482972078003212
zip/01069,2020,0.1491679982401061
zip/01070,2020,0.2051955294924715
zip/01071,2020,0.2524525241517699
zip/01072,2020,0.2051955294924715
zip/01073,2020,0.3138048839670538
zip/01074,2020,0.2482972078003212
zip/01075,2020,0.2956501481676143
zip/01077,2020,0.2696326735018948
zip/01079,2020,0.1491679982401062
zip/01080,2020,0.1491679982401062
zip/01081,2020,0.1491679982401062
zip/01082,2020,0.2470912153878415
zip/01083,2020,0.2482972078003212
zip/01084,2020,0.239411502452073
zip/01085,2020,0.2968564389052439
zip/01086,2020,0.3406593406593406
zip/01088,2020,0.2051955294924715
zip/01089,2020,0.3148710978302578
zip/01092,2020,0.2482972078003212
zip/01093,2020,0.2394115024520731
zip/01094,2020,0.2482972078003212
zip/01095,2020,0.2043932445944341
zip/01096,2020,0.2051955294924715
zip/01097,2020,0.2165672600502901
zip/01098,2020,0.1258821017931773
zip/01103,2020,0.2378915916431103
zip/01104,2020,0.2551868954357703
zip/01105,2020,0.2378915916431103
zip/01106,2020,0.2043932445944341
zip/01107,2020,0.2551868954357703
zip/01108,2020,0.204393244594434
zip/01109,2020,0.2378915916431103
zip/01118,2020,0.204393244594434
zip/01119,2020,0.2378915916431103
zip/01128,2020,0.204393244594434
zip/01129,2020,0.204393244594434
zip/01144,2020,0.2378915916431103
zip/01151,2020,0.2205665332402481
zip/01199,2020,0.2378915916431103
zip/01201,2020,0.2051955294924715
zip/01220,2020,0.2051955294924714
zip/01222,2020,0.1506862922687671
zip/01223,2020,0.1254640969205202
zip/01224,2020,0.2394115024520731
zip/01225,2020,0.2051955294924715
zip/01226,2020,0.2394115024520731
zip/01229,2020,0.1506862922687671
zip/01230,2020,0.2051955294924715
zip/01235,2020,0.2394115024520731
zip/01236,2020,0.1506862922687671
zip/01237,2020,0.2051955294924715
zip/01238,2020,0.2051955294924715
zip/01240,2020,0.2051955294924715
zip/01242,2020,0.2394115024520731
zip/01243,2020,0.2394115024520731
zip/01244,2020,0.1506862922687671
zip/01245,2020,0.2051955294924715
zip/01247,2020,0.2051955294924715
zip/01253,2020,0.2394115024520731
zip/01254,2020,0.2051955294924715
zip/01255,2020,0.2051955294924715
zip/01256,2020,0.2051955294924715
zip/01257,2020,0.1506862922687671
zip/01258,2020,0.1506862922687671
zip/01259,2020,0.2051955294924715
zip/01260,2020,0.239411502452073
zip/01262,2020,0.1506862922687671
zip/01264,2020,0.2394115024520731
zip/01266,2020,0.2051955294924715
zip/01267,2020,0.2051955294924715
zip/01270,2020,0.2394115024520731
zip/01301,2020,0.2394115024520731
zip/01330,2020,0.2051955294924715
zip/01331,2020,0.2106174058407891
zip/01337,2020,0.2394115024520731
zip/01338,2020,0.239411502452073
zip/01339,2020,0.2051955294924715
zip/01340,2020,0.2051955294924715
zip/01341,2020,0.2051955294924715
zip/01342,2020,0.239411502452073
zip/01343,2020,0.1506862922687671
zip/01344,2020,0.2051955294924715
zip/01346,2020,0.1506862922687671
zip/01347,2020,0.2394115024520731
zip/01349,2020,0.2051955294924715
zip/01350,2020,0.1506862922687671
zip/01351,2020,0.2051955294924715
zip/01354,2020,0.2394115024520731
zip/01355,2020,0.2051955294924715
zip/01360,2020,0.2051955294924715
zip/01364,2020,0.2482972078003212
zip/01366,2020,0.2482972078003212
zip/01367,2020,0.1506862922687671
zip/01368,2020,0.2106174058407891
zip/01370,2020,0.2051955294924715
zip/01373,2020,0.2051955294924715
zip/01375,2020,0.239411502452073
zip/01376,2020,0.2394115024520731
zip/01378,2020,0.2051955294924715
zip/01379,2020,0.2051955294924715
zip/01380,2020,0.1506862922687671
zip/01420,2020,0.2106837494408063
zip/01430,2020,0.2106837494408063
zip/01431,2020,0.2843584186618992
zip/01432,2020,0.2845885196289642
zip/01434,2020,0.2778602894974836
zip/01436,2020,0.2106174058407891
zip/01438,2020,0.2496162711051707
zip/01440,2020,0.1877456975353738
zip/01450,2020,0.2788953463815568
zip/01451,2020,0.2874609245688736
zip/01452,2020,0.2035706144184069
zip/01453,2020,0.2620937402305085
zip/01460,2020,0.3370896842922017
zip/01462,2020,0.2701916622047071
zip/01463,2020,0.2713684481119293
zip/01464,2020,0.2713684481119293
zip/01467,2020,0.2482972078003212
zip/01468,2020,0.2106174058407891
zip/01469,2020,0.2713684481119293
zip/01473,2020,0.2038781876634584
zip/01474,2020,0.3595187175792642
zip/01475,2020,0.1877456975353738
zip/01501,2020,0.2482972078003212
zip/01503,2020,0.2666118334371602
zip/01504,2020,0.2482972078003212
zip/01505,2020,0.2580012390964732
zip/01506,2020,0.2482972078003212
zip/01507,2020,0.2482972078003212
zip/01510,2020,0.265707766313519
zip/01515,2020,0.2482972078003212
zip/01516,2020,0.2482972078003212
zip/01518,2020,0.2482972078003212
zip/01519,2020,0.2482972078003212
zip/01520,2020,0.2258763545972857
zip/01521,2020,0.1491679982401062
zip/01522,2020,0.218214065052468
zip/01523,2020,0.2743645476283901
zip/01524,2020,0.2533056405063796
zip/01525,2020,0.2482972078003212
zip/01527,2020,0.2482972078003212
zip/01529,2020,0.2482972078003212
zip/01531,2020,0.2482972078003212
zip/01532,2020,0.2989002960650188
zip/01534,2020,0.2482972078003212
zip/01535,2020,0.2482972078003213
zip/01536,2020,0.2938210674026926
zip/01537,2020,0.2482972078003213
zip/01540,2020,0.2482972078003212
zip/01541,2020,0.2586172027431811
zip/01542,2020,0.2482972078003212
zip/01543,2020,0.2338215772027415
zip/01545,2020,0.2580012390964731
zip/01550,2020,0.2482972078003213
zip/01560,2020,0.2482972078003212
zip/01561,2020,0.2482972078003212
zip/01562,2020,0.2533056405063796
zip/01564,2020,0.2429035986240459
zip/01566,2020,0.2482972078003212
zip/01568,2020,0.3319685996205564
zip/01569,2020,0.2482972078003212
zip/01570,2020,0.2482972078003212
zip/01571,2020,0.2482972078003212
zip/01581,2020,0.3496130677960486
zip/01583,2020,0.2404398113292265
zip/01585,2020,0.2482972078003212
zip/01588,2020,0.2482972078003212
zip/01590,2020,0.2482972078003212
zip/01602,2020,0.243882857963547
zip/01603,2020,0.2482972078003213
zip/01604,2020,0.2938210674026926
zip/01605,2020,0.2809099702500232
zip/01606,2020,0.2620636218012906
zip/01607,2020,0.2482972078003212
zip/01608,2020,0.2482972078003213
zip/01609,2020,0.238967340884437
zip/01610,2020,0.2482972078003212
zip/01611,2020,0.2482972078003212
zip/01612,2020,0.243882857963547
zip/01701,2020,0.3462010438308349
zip/01702,2020,0.4159641361638053
zip/01718,2020,0.4159641361638053
zip/01719,2020,0.3382810822550293
zip/01720,2020,0.3769336967486477
zip/01721,2020,0.3462010438308349
zip/01730,2020,0.3918197582586104
zip/01731,2020,0.4159641361638053
zip/01740,2020,0.2578999381568132
zip/01741,2020,0.3918197582586105
zip/01742,2020,0.4578282815294822
zip/01745,2020,0.3319685996205564
zip/01746,2020,0.3462010438308349
zip/01747,2020,0.2482972078003212
zip/01748,2020,0.3462010438308349
zip/01749,2020,0.3401059942381659
zip/01752,2020,0.3401059942381659
zip/01754,2020,0.3970214101893144
zip/01756,2020,0.2482972078003213
zip/01757,2020,0.3319685996205565
zip/01760,2020,0.4072018309117726
zip/01770,2020,0.4159641361638054
zip/01772,2020,0.3462010438308349
zip/01773,2020,0.4578282815294822
zip/01775,2020,0.3382810822550294
zip/01776,2020,0.3820962264184878
zip/01778,2020,0.4159641361638054
zip/01801,2020,0.4029717612555483
zip/01803,2020,0.3420046898428397
zip/01810,2020,0.280033670206993
zip/01821,2020,0.3420046898428397
zip/01824,2020,0.3462010438308349
zip/01826,2020,0.2778602894974836
zip/01827,2020,0.2777782348812508
zip/01830,2020,0.20970501384587
zip/01832,2020,0.2482972078003213
zip/01833,2020,0.1976315632632234
zip/01834,2020,0.1958862587380081
zip/01835,2020,0.230148946478746
zip/01840,2020,0.2482972078003212
zip/01841,2020,0.2482972078003213
zip/01843,2020,0.2482972078003212
zip/01844,2020,0.2482972078003212
zip/01845,2020,0.2442885202998584
zip/01850,2020,0.2778602894974836
zip/01851,2020,0.2778602894974836
zip/01852,2020,0.2778602894974836
zip/01854,2020,0.2778602894974836
zip/01860,2020,0.2243621020425916
zip/01862,2020,0.3462010438308349
